income,debt,age,loan_amount,payment_history,credit_score,credit_utilization,num_credit_lines,late_payments,employment_length,default
29330.22,13276.44,51,10634.27,10,704.8,0.0761,2,0,1,0
39311.4,3992.82,53,52576.4,6,600.7,0.0906,3,0,12,0
49652.06,5534.94,54,9848.03,2,589.0,0.1646,4,0,26,0
31111.31,27823.07,30,3709.33,5,714.6,0.0677,7,1,2,1
45633.05,9638.38,25,7204.48,4,639.4,0.2446,11,3,20,1
26082.95,6147.73,56,4514.86,9,583.8,0.2271,4,1,7,0
30286.98,15687.54,22,6389.93,8,777.2,0.1692,3,0,17,0
30005.35,9267.89,56,6364.22,5,649.5,0.2726,9,0,18,1
19971.87,9608.71,27,5697.51,4,792.0,0.467,6,0,22,0
46327.28,22415.95,33,3512.31,2,702.3,0.3738,5,1,20,0
28718.56,5924.12,55,21067.8,1,723.6,0.3373,4,2,7,0
36543.08,7088.61,51,9694.45,4,683.1,0.6226,4,0,10,1
46183.29,14881.23,59,7077.79,3,487.6,0.4682,5,1,17,1
45399.92,26333.23,50,12766.54,3,609.1,0.4305,4,0,8,0
50649.9,31783.81,23,10749.78,10,689.9,0.2574,5,1,25,0
34570.54,8387.16,62,9560.68,7,729.2,0.6722,7,0,17,0
29388.27,25749.33,31,12222.07,6,556.8,0.2441,4,1,20,1
34896.47,7716.38,27,8781.13,2,695.7,0.2722,4,0,19,0
15620.4,47970.74,64,12114.19,9,610.2,0.0295,4,1,10,0
17613.9,6041.21,30,12731.92,7,718.8,0.3367,3,0,21,0
18744.4,33858.16,47,8934.1,6,698.4,0.1373,10,3,19,1
22056.81,8437.66,44,7099.38,5,759.5,0.5651,5,0,24,0
44350.85,54681.05,58,20297.21,6,785.3,0.2589,9,3,10,1
23092.44,20209.83,23,6083.04,9,736.7,0.101,6,1,17,0
30059.04,6560.28,26,10247.49,8,768.8,0.2137,5,1,26,0
69536.99,9269.02,41,10387.36,5,672.0,0.5909,7,0,11,0
30389.97,23082.43,44,5621.0,7,850.0,0.3887,3,0,25,0
52509.94,27913.09,59,4990.58,10,602.5,0.7826,5,0,10,1
22769.82,12714.51,50,6553.07,4,657.8,0.7753,3,0,3,1
32770.41,13783.96,28,6031.01,10,772.1,0.2014,3,0,1,0
22583.82,22716.51,68,3378.28,7,760.2,0.3719,6,0,14,0
30652.93,14650.93,43,5481.33,2,739.0,0.085,7,1,12,0
55279.32,5402.12,68,9506.53,10,754.0,0.0213,6,0,7,0
15311.2,7562.21,69,17319.12,7,533.3,0.3204,4,1,26,0
45125.91,15749.82,23,11300.87,4,827.1,0.1961,3,2,25,0
40899.28,31283.24,45,1703.23,3,683.7,0.1064,6,1,18,0
26981.99,41406.27,41,11905.82,10,799.7,0.1571,4,0,23,0
17623.19,23055.75,45,5797.08,9,537.3,0.1629,5,0,17,0
37649.12,16335.62,36,10634.39,1,720.5,0.2859,5,0,19,0
27868.54,22565.33,48,8034.65,7,654.9,0.3182,4,2,6,0
40795.95,8377.25,45,7218.39,2,745.8,0.2738,3,1,0,0
36714.46,12000.92,30,7620.97,3,725.4,0.4217,3,1,17,0
80893.56,7503.38,35,7994.79,6,729.3,0.4748,2,2,3,0
32219.34,5574.07,28,18153.94,3,615.3,0.2297,5,0,5,0
21769.2,16873.24,62,8008.06,6,695.4,0.1421,5,1,15,1
39721.1,15212.3,54,15542.32,5,685.6,0.1347,7,0,10,0
40538.13,21619.62,39,14241.9,6,739.6,0.1037,6,2,11,0
71653.25,19580.28,40,12091.13,9,779.1,0.0758,4,0,17,0
55135.86,15832.99,24,2773.95,2,712.0,0.1101,8,0,25,0
43409.58,19724.79,35,15835.03,8,597.9,0.0889,6,0,1,1
75482.15,12966.47,66,6156.47,3,708.6,0.4491,6,0,8,0
20042.66,17836.89,22,12449.51,1,850.0,0.2492,4,0,9,0
26373.74,8036.1,28,4520.96,5,831.7,0.264,6,0,7,0
22850.13,17305.75,62,3979.68,4,462.0,0.1286,7,0,2,1
29884.5,21330.48,46,26524.74,2,705.1,0.0965,4,0,8,0
18245.19,8360.08,22,4563.34,5,774.6,0.0505,5,0,4,0
49889.98,13853.35,44,16117.55,9,685.4,0.1914,4,3,26,0
32496.53,8634.13,57,8699.77,6,663.2,0.3076,6,0,10,0
17406.46,9241.37,37,6297.63,8,678.6,0.43,5,2,10,0
21855.56,6078.72,39,7888.04,2,744.2,0.112,3,1,20,0
42478.65,32404.17,51,3712.06,1,608.1,0.1967,7,2,17,0
55219.05,28169.06,50,8036.49,4,795.1,0.2119,7,0,8,0
98554.55,19461.7,65,4231.69,8,695.5,0.3803,3,1,8,0
155893.95,53132.13,33,6391.56,9,625.2,0.4009,6,0,0,0
44676.58,11702.15,34,14117.63,2,789.9,0.647,1,1,6,0
22141.99,111550.61,28,9438.14,5,576.4,0.2116,6,1,11,1
12506.16,11392.72,53,3329.9,4,655.6,0.093,4,1,12,0
41516.89,15972.68,47,13506.05,8,654.3,0.2586,2,1,6,0
24186.01,10112.78,38,8068.64,3,850.0,0.3211,5,2,26,0
29505.19,17337.51,55,5852.88,5,645.2,0.6429,7,1,23,0
26740.96,23978.92,39,12682.85,9,527.6,0.1874,6,0,13,0
33846.96,12335.77,30,7329.6,5,653.5,0.6561,3,1,24,1
61882.34,46337.36,47,4026.3,8,736.4,0.1892,7,1,9,0
39282.1,15794.3,42,24555.37,7,762.7,0.3184,7,1,20,0
33546.32,16144.58,40,8019.47,6,850.0,0.4014,6,0,23,0
21637.28,7070.61,42,7716.91,3,812.6,0.2058,3,0,18,1
15719.52,17907.04,65,6354.62,10,715.0,0.0396,5,1,9,0
28476.83,12163.33,31,16448.33,3,628.7,0.0984,4,2,21,0
35351.95,8727.48,34,5913.97,10,829.9,0.0454,2,1,3,0
87900.87,7757.91,48,3206.75,10,670.5,0.0868,5,1,11,0
38759.74,86702.19,23,5392.66,6,647.3,0.0712,8,1,25,1
59359.64,11109.61,28,17962.92,9,666.6,0.3329,6,1,19,1
28292.5,4817.98,48,13350.1,8,599.8,0.4606,7,0,10,1
20080.97,8194.72,45,6953.43,8,662.8,0.0815,5,1,12,0
22414.01,12886.07,52,18470.92,1,681.4,0.3934,7,0,12,0
25270.35,19587.89,26,12692.48,2,758.5,0.1218,7,0,12,0
105264.85,19699.68,62,6905.31,1,669.0,0.1038,9,2,6,0
24084.09,21453.22,44,7335.3,1,598.6,0.3763,4,0,23,0
55229.06,8506.6,28,9873.31,9,571.7,0.564,5,2,2,1
23121.92,16954.83,36,4919.04,2,716.8,0.1211,4,1,23,0
57860.29,7235.53,32,8125.02,1,705.8,0.256,6,0,16,0
44023.35,8658.09,43,9750.83,10,655.7,0.0709,6,0,12,0
33579.84,7027.62,43,2944.87,3,662.6,0.3776,7,1,23,0
35582.84,5814.6,42,7232.99,9,731.1,0.1166,2,1,28,0
26176.21,28139.98,43,6755.86,10,811.2,0.2989,5,0,12,0
45389.5,21634.15,65,15015.54,6,637.6,0.3277,3,0,16,0
28926.35,26467.31,67,2679.28,10,707.1,0.0778,5,0,13,0
19676.83,13732.48,45,6445.24,10,776.7,0.3086,3,0,14,0
19168.65,23011.87,68,6068.99,2,637.9,0.4995,6,0,10,0
39588.5,3893.63,61,14415.26,2,698.7,0.1187,3,0,15,0
79981.1,24444.52,61,7894.11,4,697.0,0.203,6,1,0,0
39339.95,15123.18,32,23805.14,6,595.1,0.0523,6,0,23,0
34223.95,20722.53,42,12056.12,8,713.5,0.1949,5,1,2,0
41894.64,17431.19,38,6335.13,2,702.5,0.3177,4,0,29,0
69772.89,6694.63,25,9356.21,2,744.4,0.2011,3,2,11,0
40525.69,4681.49,24,6552.22,4,605.0,0.3124,5,1,20,0
29570.61,8115.75,51,13570.28,3,700.8,0.3084,5,0,0,0
63142.18,19839.74,41,3643.43,10,810.5,0.1975,4,1,10,0
44998.22,21656.57,61,4943.27,4,850.0,0.3376,5,1,28,0
78266.74,5127.84,53,10651.05,9,802.4,0.2536,8,2,15,0
39799.8,6722.6,25,16906.51,1,605.8,0.3235,4,0,13,0
19688.02,8052.48,62,2162.06,2,736.1,0.1619,5,2,9,0
18323.15,10403.38,45,18484.41,9,661.3,0.3834,5,0,20,1
82906.1,5149.03,48,7449.62,3,722.7,0.4705,4,1,19,0
85976.81,4937.25,68,2616.72,1,638.2,0.1678,7,0,15,0
33197.85,7515.44,52,1338.04,6,562.9,0.0459,4,0,29,0
29983.61,14191.2,22,3236.89,2,672.4,0.1595,6,2,16,0
75412.03,5846.42,29,8007.85,1,757.8,0.2053,6,2,25,0
20878.54,12319.49,41,7788.95,5,723.0,0.2955,5,0,14,0
23216.92,28028.78,22,11848.07,6,732.2,0.166,3,0,14,0
50094.34,5370.92,29,5827.29,6,717.3,0.5267,7,2,17,0
29812.93,11562.1,59,4167.93,6,732.4,0.527,5,1,10,0
36222.62,27373.47,27,6324.26,1,742.4,0.3551,7,0,23,0
33465.77,9968.77,29,8268.15,3,678.0,0.4416,7,0,13,0
42992.77,8941.25,45,9306.46,4,706.6,0.3584,3,2,8,0
73404.53,30165.29,25,5046.76,3,839.5,0.1842,4,1,9,0
37998.14,10782.27,33,13917.02,6,711.4,0.1657,6,1,9,0
50109.68,28944.82,66,5581.22,3,703.4,0.2639,6,3,29,1
13028.75,18038.72,51,4808.64,7,708.2,0.1431,3,2,9,0
35441.57,10509.23,68,5852.15,10,682.6,0.3073,4,0,6,0
23822.48,18690.74,38,15442.89,7,665.2,0.2698,5,3,20,0
19743.77,16719.23,51,7482.5,4,716.7,0.1395,5,0,24,0
23410.12,27299.34,32,5341.66,5,659.5,0.0881,6,0,12,0
30728.27,9101.17,39,14124.48,6,688.4,0.2533,5,1,12,0
57408.71,13750.69,29,29308.98,8,636.8,0.1478,5,1,18,0
18709.82,12796.65,61,9189.43,4,708.6,0.121,4,2,19,1
36875.98,21870.71,30,16988.73,1,746.7,0.293,2,1,3,0
28507.29,6518.34,31,15087.88,8,683.0,0.1877,9,0,27,0
30827.53,27224.81,43,5634.23,7,539.3,0.3661,5,2,11,1
59956.76,18516.73,42,8233.62,2,747.2,0.0852,5,0,17,0
47527.21,5314.28,36,3753.61,7,709.6,0.2817,5,2,1,0
70876.84,31125.54,38,7165.51,1,620.5,0.155,4,0,18,0
33615.66,63822.76,35,5565.19,7,761.9,0.1112,4,2,3,1
25643.07,26937.75,65,6363.08,8,588.1,0.1585,3,0,1,0
32469.96,36275.19,49,5167.08,1,783.6,0.1269,3,0,28,0
40996.76,14182.44,66,6820.87,8,695.4,0.1588,6,0,3,0
39667.47,4175.32,69,11151.62,2,518.5,0.5925,5,0,22,0
21116.41,3674.29,52,7542.47,3,714.3,0.098,6,4,16,1
37996.33,15971.44,61,2647.51,8,667.5,0.2648,5,1,7,0
40705.32,8827.39,26,5178.79,4,655.5,0.3928,6,2,11,1
127865.86,7043.05,67,3256.34,10,641.0,0.3599,5,2,4,0
92820.45,12785.63,44,9380.95,10,689.8,0.07,4,0,18,0
23703.51,20556.03,55,10959.81,10,661.2,0.2343,3,0,24,0
31454.85,4832.26,33,9451.5,2,551.5,0.0758,6,1,11,0
17470.67,9757.44,25,5052.09,2,801.8,0.7243,2,1,27,1
27028.48,38442.14,64,9396.69,2,680.5,0.3927,3,0,5,1
42523.09,6293.66,43,6111.52,6,641.4,0.1913,3,0,28,0
66365.11,24558.98,27,4093.13,5,609.7,0.2578,5,0,23,0
25221.65,9515.61,53,12646.78,8,761.7,0.0662,6,0,1,0
26184.6,19575.92,23,13237.6,3,596.1,0.5129,7,1,25,1
12411.21,28799.96,43,14318.92,2,710.7,0.1857,2,0,1,1
33478.78,22446.66,55,5625.08,7,653.3,0.2071,8,1,29,0
21349.7,25245.72,56,16442.38,7,658.0,0.093,3,0,20,0
27869.28,5966.31,43,6026.07,7,611.7,0.5855,6,1,6,0
23425.25,29131.11,39,11993.27,4,650.4,0.3769,2,1,27,0
34643.62,7354.85,62,5963.74,6,700.7,0.3949,3,0,9,0
15080.17,16021.38,30,7084.12,10,718.8,0.1967,7,0,3,0
17439.23,16006.85,24,1895.6,7,637.2,0.2349,5,1,8,0
105305.78,18761.94,28,6760.5,10,692.7,0.3613,3,2,25,0
19077.95,16913.54,60,8558.28,5,771.1,0.4183,4,0,27,0
20985.92,7400.72,44,6335.79,1,567.0,0.1618,3,0,27,0
90985.62,5193.13,22,23241.92,8,699.5,0.3758,2,0,17,0
155209.89,24603.5,29,4034.03,5,623.9,0.3119,8,1,5,0
20215.74,15215.72,22,5778.22,1,615.8,0.2882,11,1,27,0
30208.41,29868.62,60,4708.27,2,720.9,0.6125,5,1,15,1
43078.43,12947.87,43,5777.54,4,656.4,0.0853,5,0,26,0
86193.39,4995.96,24,15045.7,2,602.7,0.1265,6,0,2,0
22171.69,26272.83,31,19669.39,7,805.9,0.2859,2,2,7,1
32124.08,10308.67,51,5321.57,7,773.6,0.2272,2,2,6,0
53565.94,16973.4,50,5251.11,4,545.4,0.5495,5,1,12,1
45133.64,8491.14,61,4046.97,1,582.0,0.4392,7,2,25,1
30089.21,42235.28,22,17743.44,1,747.5,0.2464,5,1,12,0
33965.09,7232.97,24,15876.62,10,677.2,0.2989,5,0,18,0
18261.53,10549.14,22,7603.86,4,820.0,0.2237,8,0,14,0
32238.39,14403.32,40,3506.38,2,749.3,0.1289,5,1,28,0
31786.8,6219.67,56,3699.68,8,724.0,0.192,5,1,29,0
40785.62,16837.5,53,8976.61,9,618.3,0.3058,5,0,26,0
27510.87,41288.42,31,11266.65,2,739.3,0.2152,7,0,5,0
45971.15,9477.51,53,2345.64,10,597.9,0.2599,5,1,25,0
60256.03,17616.65,53,6682.28,8,804.4,0.5517,2,0,23,0
39250.31,1949.63,30,21396.39,3,733.8,0.0405,3,0,10,0
43298.71,13000.58,57,7111.68,8,634.0,0.0154,2,1,6,0
37293.62,10730.77,41,19806.84,5,764.4,0.3502,4,0,29,0
36317.04,7533.02,23,11961.25,7,850.0,0.4274,4,0,22,0
25316.74,28481.65,40,4227.78,2,682.6,0.1131,5,0,7,0
42542.0,10632.06,58,6798.09,3,744.0,0.2125,6,0,6,0
34591.27,11798.95,55,7500.94,8,665.5,0.2445,3,2,17,0
103423.16,10259.56,34,4575.6,9,706.8,0.1979,3,1,15,0
79752.03,3492.0,58,4528.2,1,579.4,0.1226,3,0,24,0
44043.07,6048.77,40,20011.48,3,700.0,0.2101,2,1,20,1
24796.84,26180.38,43,4507.89,7,703.5,0.1838,7,0,24,0
20822.6,3050.42,25,15476.25,10,843.9,0.5551,2,0,12,0
65878.77,7813.27,69,6236.09,7,556.4,0.2995,3,0,29,0
41414.01,10099.04,62,7979.38,8,677.5,0.2784,8,0,28,0
46169.36,45276.13,30,11351.52,4,803.0,0.2585,7,1,28,1
15179.59,22880.1,48,5658.22,1,680.7,0.106,4,0,21,0
57740.8,9045.12,59,11392.87,8,686.3,0.2385,5,2,11,0
45579.36,33294.9,45,2373.55,8,633.3,0.143,5,1,4,0
20843.23,7955.66,31,10549.4,5,625.4,0.379,3,3,16,0
28688.1,27075.1,68,1842.51,6,553.9,0.3008,4,1,11,1
41434.06,5160.49,34,7071.95,3,649.7,0.0991,6,3,5,1
37280.79,28318.78,37,13528.39,5,620.9,0.4601,8,0,9,0
31379.64,10053.8,39,11770.8,3,709.4,0.1475,6,1,24,0
34484.18,6503.18,64,3718.05,5,637.0,0.2001,5,1,8,0
32016.65,11475.84,45,4016.64,2,661.6,0.4439,6,2,2,0
39194.09,16222.28,56,5360.42,7,663.8,0.5208,5,2,6,0
75791.85,9449.11,65,9060.95,3,696.1,0.3911,7,1,5,0
10063.5,19688.06,66,2394.29,8,657.7,0.5408,6,0,5,0
32259.73,8883.09,62,8039.05,6,615.1,0.5157,7,0,12,0
39666.26,20625.03,65,9767.91,9,706.9,0.4043,2,0,26,1
42108.17,18206.89,67,6837.5,3,785.4,0.339,6,1,11,0
30153.09,12801.96,69,11105.46,3,710.3,0.3497,4,0,29,0
15087.76,9808.77,52,9267.18,3,651.2,0.7694,4,1,26,1
42787.35,14854.8,27,5854.74,7,690.1,0.2805,7,0,4,0
86135.34,19637.13,26,2535.86,2,535.9,0.1083,4,0,18,0
16866.24,56571.43,60,8778.39,7,688.8,0.1063,5,0,23,0
55933.23,25786.19,36,4574.05,9,668.0,0.3448,5,0,21,0
30814.4,26454.8,60,5727.27,7,625.3,0.4052,5,1,6,1
35218.89,116071.14,66,10801.87,2,639.8,0.0409,4,0,21,1
21451.52,19171.32,52,18965.94,5,667.2,0.3297,5,0,15,0
30723.16,18755.65,58,7920.14,6,779.4,0.2527,6,0,7,0
69565.38,21868.68,34,11298.65,4,787.4,0.4779,1,0,5,1
48597.51,6592.74,42,3406.06,5,625.7,0.449,5,0,11,0
86349.28,9791.49,68,9389.19,8,658.6,0.2137,7,0,8,0
65428.02,9373.87,61,7817.0,9,660.6,0.1258,6,2,16,0
45231.24,21022.11,31,16941.75,4,764.8,0.2265,6,1,12,0
86852.56,11826.26,66,5858.95,4,711.6,0.2654,6,0,3,0
45229.13,14716.97,45,7009.47,3,707.4,0.3496,8,0,21,0
54939.84,28601.61,62,15295.11,5,742.9,0.2356,2,0,1,0
31310.68,24445.6,46,7667.76,6,652.3,0.0742,5,1,14,0
37544.15,11929.81,50,4165.93,8,809.1,0.3364,3,2,1,0
25624.09,8358.24,28,37458.16,3,699.9,0.3342,8,0,24,1
59563.13,29575.23,37,4242.23,3,631.5,0.4724,6,0,9,0
20147.76,22964.94,56,7794.55,1,681.6,0.2562,3,1,2,1
53700.37,4339.96,62,9976.75,1,798.6,0.4365,6,1,7,0
33013.59,10729.93,25,9514.48,1,666.0,0.3469,3,1,17,1
65226.66,15000.83,24,7231.15,3,776.0,0.1398,5,0,23,0
52861.71,23044.46,54,7252.81,7,650.0,0.0811,4,2,3,0
90248.57,25262.37,42,7037.73,8,638.7,0.181,9,0,9,0
52333.26,16296.97,62,4148.24,10,752.8,0.0886,7,2,3,0
16547.33,20124.1,24,29440.65,6,630.1,0.2592,5,1,7,1
35119.91,13973.19,38,7101.1,5,765.8,0.2992,5,0,9,0
20211.29,8335.71,22,11593.02,9,728.1,0.2065,5,1,17,0
28025.22,11126.83,55,6628.99,2,630.1,0.6526,9,4,3,1
77312.75,13538.51,63,6549.49,7,694.3,0.0929,3,1,18,0
49949.46,13039.32,28,6165.56,9,656.1,0.2743,4,1,23,1
25604.79,3569.21,36,3197.4,6,727.9,0.3461,4,0,28,0
21875.91,10114.87,62,7358.62,3,850.0,0.0952,3,2,15,1
36915.66,13895.83,23,6347.37,7,670.3,0.5204,4,0,14,1
19766.03,10971.33,67,16365.24,10,742.7,0.6906,6,0,19,0
25963.06,11239.88,64,3952.01,3,702.0,0.3994,4,1,29,0
42446.71,18799.66,28,5731.38,6,701.9,0.0678,5,0,1,0
64709.03,6277.52,27,4726.48,1,686.8,0.366,8,0,5,0
49236.02,4274.28,54,19254.85,3,631.4,0.2516,5,0,6,0
11549.01,10470.12,21,4809.53,8,726.8,0.2879,4,2,5,0
42284.82,22808.31,45,11354.62,5,676.9,0.7079,7,1,15,0
37647.31,43533.55,24,14502.8,2,627.6,0.226,3,3,1,1
44664.99,23097.73,47,7422.91,4,781.1,0.4344,4,1,2,0
81479.35,4780.09,38,3547.2,2,707.9,0.0701,5,0,20,0
12943.91,11354.2,55,3574.24,8,681.8,0.3723,2,0,4,0
27023.13,15988.8,64,13573.28,10,807.2,0.0619,2,0,9,0
48798.42,15128.17,44,3803.37,2,553.1,0.2107,3,0,0,0
16468.47,19487.2,52,10251.88,3,801.8,0.4377,4,1,22,0
75960.94,7030.87,50,8678.55,9,629.6,0.4377,4,0,27,0
43659.59,13981.08,69,10160.67,9,716.9,0.1556,7,0,20,0
55453.05,17929.92,32,10753.12,8,653.0,0.2977,7,0,12,0
27296.89,23812.59,32,4627.62,8,626.2,0.3572,7,3,11,1
54550.48,7600.71,39,4512.85,9,805.1,0.4442,2,1,1,0
61959.47,10492.23,57,12443.53,4,848.5,0.2849,4,1,7,0
40800.07,2012.89,63,5554.66,9,682.3,0.4392,5,0,13,1
40831.15,8647.08,34,1556.06,9,726.8,0.5135,4,2,1,0
41571.56,9254.91,26,11959.16,3,704.6,0.2408,6,0,26,0
23584.08,6543.91,50,4351.36,1,838.4,0.2243,8,4,18,0
33733.13,15001.85,50,10724.45,6,530.9,0.182,4,0,5,1
33649.0,12846.65,39,18689.05,8,730.2,0.2202,6,0,26,0
43989.09,2747.78,30,8184.99,9,641.8,0.2889,8,0,7,0
59868.88,15535.07,62,14727.32,2,511.5,0.1861,6,2,19,0
21391.14,6975.6,62,8886.41,4,671.2,0.4749,11,0,29,0
34115.1,18769.38,57,21003.78,8,847.8,0.5217,7,0,10,0
76170.37,5446.37,49,4284.4,1,647.5,0.3425,3,0,25,0
25039.4,13643.31,33,8063.24,8,763.3,0.3882,8,1,27,0
24073.69,10957.57,40,12135.58,3,795.9,0.0387,7,2,16,0
40181.14,16517.43,24,7228.26,1,699.0,0.2973,6,2,19,0
55392.12,14578.28,33,16176.77,3,709.6,0.1646,8,0,5,0
36523.57,11174.45,43,6252.75,8,562.7,0.1897,4,0,25,0
70578.46,4557.86,42,28046.6,9,642.7,0.4058,5,0,6,0
55736.86,4750.26,24,28949.8,1,772.6,0.4028,5,0,8,0
55321.12,8877.53,67,9597.36,5,704.9,0.2707,6,1,25,0
47908.98,13282.52,34,11288.74,3,729.4,0.3996,7,0,6,0
116288.16,8727.43,45,16564.26,7,710.7,0.1281,6,0,20,0
32774.93,20695.02,43,3974.61,8,850.0,0.5304,5,0,10,0
13336.22,10987.85,44,3687.85,10,665.6,0.4835,8,1,10,1
80993.74,6798.73,62,17220.42,4,828.4,0.2101,4,0,27,0
28887.1,10996.5,57,9550.92,3,710.7,0.1951,6,1,0,1
38328.16,15648.05,63,7073.4,4,835.5,0.3646,3,0,22,0
69896.81,16771.22,39,8157.34,8,602.0,0.257,6,1,4,0
16299.18,49754.96,33,1935.99,5,714.8,0.1162,6,1,24,0
19422.28,8364.6,41,7227.6,1,668.5,0.3131,4,0,21,0
16307.18,12689.94,48,5157.32,10,711.2,0.118,3,0,18,0
24414.48,18002.88,37,14056.54,2,797.8,0.2726,6,1,19,0
45243.68,13142.47,43,14720.83,10,730.3,0.0718,8,0,0,0
